Source,Target,Weight,Type
ClementClarkeMoore_A Song,ClementClarkeMoore_From a Husband to his Wife,4,undirected
ClementClarkeMoore_A Song,ClementClarkeMoore_Lines on the Sisters of Charity,7,undirected
ClementClarkeMoore_A Song,ClementClarkeMoore_Old Santeclaus,3,undirected
ClementClarkeMoore_A Song,ClementClarkeMoore_To Southey,17,undirected
ClementClarkeMoore_A Song,HenryLivingstonJr_The IX Ode to Horace,3,undirected
ClementClarkeMoore_A Song,HenryLivingstonJr_The Vine & Oak A Fable,5,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,7,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Cowper the Poet,11,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_From a Husband to his Wife,6,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Lines on the Sisters of Charity,7,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,2,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Lines written after a season of Yellow Fever,6,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Lines Written After a Snow-storm,1,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Mischievous Muse,3,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Organist,8,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Pig and the Rooster,18,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Water Drinker,21,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Wine Drinker,36,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To my Daughter, on her marriage,9,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To Southey,28,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,3,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To the Nymphs of Mount Harmony,1,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,3,undirected
ClementClarkeMoore_A Trip to Saratoga,HenryLivingstonJr_Acknowledgement,12,undirected
ClementClarkeMoore_A Trip to Saratoga,HenryLivingstonJr_The Crane & The Fox, a Fable,18,undirected
ClementClarkeMoore_A Trip to Saratoga,HenryLivingstonJr_The Vine & Oak A Fable,2,undirected
ClementClarkeMoore_A Trip to Saratoga,MooreLivingstone_A Visit from St Nicholas,14,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_A Trip to Saratoga,7,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_Cowper the Poet,11,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_The Wine Drinker,24,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_To a Lady,2,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_To my Children, with my Potrait,5,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,23,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,HenryLivingstonJr_1819 New Years Carriers Address,2,undirected
